# Omega_m     sigma_8     h           
  0.038925    0.125764    0.228667    
  0.360813    0.833171    0.716956    
  0.996481    0.308842    0.282452    
  0.935755    0.600200    0.661125    
  0.299972    0.015566    0.339770    
  0.099155    0.962959    0.859264    
  0.727133    0.425263    0.141542    
  0.519797    0.793589    0.376678    
  0.149753    0.318148    0.623678    
  0.453109    0.640786    0.072918    
  0.815333    0.243409    0.927466    
  0.827844    0.574333    0.117155    
  0.440107    0.036590    0.883687    
  0.144564    0.984945    0.434492    
  0.524495    0.400389    0.566383    
  0.724384    0.756004    0.830805    
  0.102388    0.358704    0.169605    
  0.311017    0.682302    0.650034    
  0.925194    0.206815    0.350281    
  0.985554    0.883900    0.722126    
  0.371248    0.469204    0.277739    
  0.041548    0.552329    0.789466    
  0.663659    0.090819    0.210431    
  0.589134    0.690572    0.443592    
  0.209333    0.166317    0.555841    
  0.375947    0.874685    0.012818    
  0.763569    0.272246    0.986522    
  0.793005    0.837909    0.306437    
  0.407304    0.300227    0.694184    
  0.241910    0.725144    0.237146    
  0.619791    0.140526    0.763446    
  0.631326    0.515856    0.527845    
  0.011135    0.118495    0.472236    
  0.341568    0.918656    0.960570    
  0.953954    0.443230    0.039601    
  0.893106    0.655290    0.919220    
  0.280850    0.240656    0.080424    
  0.071488    0.784717    0.599933    
  0.691565    0.323146    0.399682    
  0.555639    0.958238    0.132820    
  0.177628    0.433923    0.866285    
  0.471951    0.603229    0.315540    
  0.857766    0.000851    0.683653    
  0.868599    0.970026    0.807992    
  0.488696    0.382953    0.191837    
  0.158996    0.591576    0.734858    
  0.546703    0.051437    0.265061    
  0.706065    0.667445    0.029463    
  0.091917    0.189562    0.969944    
  0.258532    0.773430    0.458219    
  0.880500    0.373612    0.541160    
  0.945263    0.535456    0.421756    
  0.323180    0.075334    0.579050    
  0.027636    0.899196    0.098618    
  0.641914    0.486011    0.902277    
  0.606940    0.857873    0.635411    
  0.219347    0.256944    0.364973    
  0.427977    0.706051    0.814170    
  0.807750    0.183185    0.186186    
  0.776179    0.741546    0.614621    
  0.398269    0.154533    0.385063    
  0.188908    0.824095    0.935805    
  0.574637    0.283895    0.063786    
  0.672598    0.934998    0.328212    
  0.060184    0.457053    0.670914    
  0.354507    0.501859    0.151406    
  0.974726    0.102102    0.847751    
  0.910453    0.799161    0.220573    
  0.290348    0.339100    0.780088    
  0.124954    0.639525    0.291753    
  0.737239    0.226279    0.708815    
  0.513910    0.617611    0.941971    
  0.128066    0.016621    0.058130    
  0.458499    0.942290    0.515171    
  0.836538    0.419485    0.484964    
  0.842429    0.697188    0.956905    
  0.456760    0.156745    0.043753    
  0.129989    0.864636    0.524185    
  0.507838    0.277378    0.476384    
  0.739100    0.878737    0.240810    
  0.118941    0.479223    0.759294    
  0.296298    0.561871    0.310097    
  0.908651    0.084172    0.690035    
  0.968898    0.762617    0.319693    
  0.356674    0.349126    0.679990    
  0.058201    0.672256    0.136968    
  0.678245    0.211952    0.862624    
  0.572592    0.569165    0.595781    
  0.194614    0.046606    0.403346    
  0.392501    0.994491    0.915072    
  0.778284    0.393745    0.084084    
  0.809673    0.968700    0.654183    
  0.421905    0.428318    0.346621    
  0.225238    0.597147    0.834957    
  0.605202    0.009828    0.165940    
  0.647864    0.646282    0.430343    
  0.025835    0.246707    0.570043    
  0.325041    0.790292    0.113003    
  0.939250    0.312654    0.887351    
  0.878517    0.526314    0.009157    
  0.264178    0.112885    0.990670    
  0.086089    0.912577    0.439928    
  0.708233    0.452212    0.559993    
  0.540935    0.828896    0.793127    
  0.161101    0.306275    0.206283    
  0.486651    0.730723    0.725790    
  0.874305    0.130037    0.273587    
  0.851938    0.848361    0.155559    
  0.474118    0.263499    0.844087    
  0.175645    0.711122    0.332360    
  0.561285    0.173197    0.667254    
  0.689519    0.545413    0.931653    
  0.077194    0.070232    0.067450    
  0.275082    0.892610    0.610473    
  0.895211    0.495492    0.388723    
  0.959844    0.657928    0.511506    
  0.339829    0.196114    0.489116    
  0.013058    0.778506    0.938311    
  0.625253    0.363627    0.062279    
  0.621652    0.979981    0.295417    
  0.235897    0.377846    0.704663    
  0.413254    0.584993    0.224233    
  0.791204    0.060923    0.775940    
  0.761586    0.611945    0.454559    
  0.381594    0.027144    0.545309    
  0.203504    0.951328    0.025800    
  0.591302    0.413342    0.974097    
  0.657890    0.805273    0.738519    
  0.043653    0.330031    0.260912    
  0.369203    0.628972    0.811656    
  0.991261    0.231915    0.187685    
  0.927117    0.929326    0.818319    
  0.304945    0.467573    0.182525    
  0.108278    0.510902    0.639563    
  0.722646    0.095962    0.361309    
  0.530445    0.747656    0.094470    
  0.142762    0.145459    0.905937    
  0.441968    0.813545    0.417604    
  0.821831    0.289535    0.582714    
  0.817256    0.903465    0.397449    
  0.447036    0.488572    0.603449    
  0.155643    0.532893    0.091675    
  0.518057    0.071063    0.909128    
  0.733084    0.710076    0.675496    
  0.097354    0.185990    0.324858    
  0.301834    0.855066    0.867835    
  0.929743    0.252917    0.132551    
  0.994498    0.586086    0.752435    
  0.366458    0.048144    0.247486    
  0.033096    0.973321    0.696666    
  0.668940    0.388445    0.303162    
  0.578303    0.767696    0.038298    
  0.216018    0.370563    0.961079    
  0.386295    0.670496    0.480634    
  0.756399    0.195298    0.518775    
  0.788460    0.635984    0.211677    
  0.416491    0.221029    0.788892    
  0.246947    0.804412    0.269399    
  0.611095    0.342643    0.731261    
  0.637767    0.938505    0.997590    
  0.000059    0.414479    0.002543    
  0.334643    0.622619    0.553302    
  0.964546    0.020408    0.446802    
  0.900280    0.826415    0.574476    
  0.270506    0.288412    0.425117    
  0.064807    0.737026    0.882201    
  0.702400    0.152211    0.117481    
  0.550361    0.503935    0.352580    
  0.186083    0.106864    0.646576    
  0.476744    0.930234    0.158288    
  0.848827    0.454975    0.840839    
  0.861425    0.547323    0.713291    
  0.499039    0.087034    0.286604    
  0.165677    0.887687    0.767052    
  0.535867    0.474212    0.232816    
  0.711343    0.869435    0.499149    
  0.083462    0.268705    0.500192    
  0.253739    0.694114    0.051010    
  0.889440    0.171569    0.948420    
  0.949808    0.989706    0.077071    
  0.313992    0.402465    0.923802    
  0.022599    0.572255    0.380827    
  0.650610    0.031826    0.620017    
  0.600499    0.686820    0.855112    
  0.230423    0.209135    0.145206    
  0.434903    0.753681    0.656977    
  0.797159    0.354184    0.343430    
  0.767235    0.787522    0.894852    
  0.403059    0.327171    0.104762    
  0.197359    0.651263    0.593052    
  0.569356    0.237849    0.406594    
  0.683430    0.605790    0.172966    
  0.053499    0.005120    0.826230    
  0.344159    0.953967    0.369145    
  0.981896    0.431360    0.629958    
  0.921040    0.722095    0.250818    
  0.283418    0.134792    0.749772    
  0.113874    0.843645    0.199015    
  0.743676    0.303277    0.801609    
  0.505211    0.915363    0.536741    
  0.133100    0.437740    0.463432    
  0.467683    0.521348    0.982924    
  0.831990    0.121790    0.017155    
  0.831116    0.720572    0.691074    
  0.466848    0.133513    0.309305    
  0.133477    0.841145    0.758500    
  0.505566    0.301022    0.241846    
  0.743542    0.917869    0.475469    
  0.113764    0.440001    0.525343    
  0.284048    0.522877    0.044913    
  0.921632    0.123074    0.955991    
  0.982006    0.786001    0.085122    
  0.344293    0.325895    0.914280    
  0.052907    0.648765    0.402552    
  0.682800    0.235595    0.596817    
  0.570191    0.608297    0.861708    
  0.198233    0.007383    0.138126    
  0.402704    0.955497    0.681150    
  0.766858    0.432647    0.318779    
  0.797544    0.991962    0.888267    
  0.435250    0.404964    0.111845    
  0.229557    0.573534    0.568883    
  0.599656    0.033349    0.431257    
  0.651232    0.685535    0.164902    
  0.023198    0.207606    0.835749    
  0.313851    0.751420    0.347415    
  0.949705    0.351679    0.653147    
  0.888841    0.549577    0.274503    
  0.253117    0.089531    0.724632    
  0.083565    0.888964    0.205123    
  0.711484    0.475733    0.794041    
  0.535520    0.868149    0.558955    
  0.165292    0.267174    0.440720    
  0.499882    0.691851    0.991464    
  0.862291    0.169062    0.008121    
  0.849456    0.824764    0.389881    
  0.477335    0.287006    0.609557    
  0.185950    0.734399    0.066536    
  0.550250    0.149828    0.932813    
  0.702778    0.506557    0.666462    
  0.065162    0.109241    0.333398    
  0.269633    0.931879    0.845124    
  0.899444    0.456376    0.154765    
  0.964191    0.634331    0.777098    
  0.334265    0.219621    0.223317    
  0.000895    0.801783    0.703749    
  0.638640    0.340258    0.296577    
  0.610504    0.941125    0.061487    
  0.246318    0.416855    0.939350    
  0.416602    0.624262    0.490153    
  0.788593    0.021807    0.510712    
  0.756258    0.588469    0.188477    
  0.386191    0.050772    0.810618    
  0.216640    0.974728    0.259876    
  0.578901    0.390096    0.739313    
  0.668075    0.766295    0.972938    
  0.032253    0.368918    0.026716    
  0.366844    0.668118    0.546223    
  0.994845    0.192677    0.453398    
  0.930586    0.905851    0.583506    
  0.302699    0.491201    0.416566    
  0.097007    0.534302    0.904901    
  0.732699    0.072715    0.095264    
  0.518161    0.708677    0.360151    
  0.155784    0.184347    0.640479    
  0.446438    0.852691    0.183440    
  0.816634    0.250297    0.817159    
  0.821698    0.926819    0.131390    
  0.441858    0.465310    0.868750    
  0.143392    0.509371    0.325775    
  0.531037    0.094675    0.674337    
  0.721772    0.749177    0.909923    
  0.107442    0.146736    0.090638    
  0.305322    0.816042    0.602410    
  0.927472    0.291789    0.398242    
  0.992096    0.609440    0.517615    
  0.370077    0.024883    0.481549    
  0.043298    0.949800    0.961996    
  0.657513    0.412057    0.037139    
  0.591412    0.806796    0.303957    
  0.203638    0.331310    0.695629    
  0.381002    0.631471    0.246447    
  0.760956    0.234170    0.753228    
  0.791826    0.659215    0.446007    
  0.413853    0.197645    0.554339    
  0.235756    0.780769    0.003582    
  0.621549    0.366134    0.996797    
  0.625639    0.977728    0.732422    
  0.013405    0.375348    0.268483    
  0.338963    0.583716    0.787975    
  0.959001    0.059402    0.212836    
  0.894864    0.849646    0.840044    
  0.274697    0.265028    0.159326    
  0.078038    0.713383    0.647615    
  0.690385    0.175702    0.351787    
  0.560686    0.543158    0.118643    
  0.175023    0.067733    0.881286    
  0.474221    0.891331    0.424201    
  0.852079    0.493969    0.575635    
  0.874683    0.523695    0.947383    
  0.487006    0.110509    0.051805    
  0.160227    0.910934    0.500985    
  0.540100    0.450813    0.498110    
  0.708862    0.830549    0.233731    
  0.086680    0.307684    0.765891    
  0.264044    0.733352    0.285445    
  0.878406    0.132423    0.714208    
  0.938659    0.966078    0.342393    
  0.324412    0.425940    0.657772    
  0.025946    0.595502    0.145998    
  0.647998    0.008427    0.854073    
  0.604847    0.647933    0.620932    
  0.224860    0.248114    0.379665    
  0.422740    0.792919    0.922643    
  0.810547    0.315037    0.077988    
  0.777418    0.764016    0.629043    
  0.391658    0.350769    0.370306    
  0.194999    0.674631    0.827389    
  0.572939    0.214572    0.172049    
  0.678103    0.566780    0.407632    
  0.058097    0.043977    0.592257    
  0.357296    0.993083    0.103969    
  0.969496    0.392092    0.895891    
  0.908755    0.698589    0.016240    
  0.296440    0.158390    0.984085    
  0.118343    0.867014    0.464591    
  0.738478    0.280000    0.535824    
  0.508681    0.876354    0.802646    
  0.130855    0.476596    0.198220    
  0.456413    0.560464    0.748979    
  0.842044    0.082521    0.251857    
  0.836398    0.797754    0.783827    
  0.458396    0.337449    0.216496    
  0.128688    0.637142    0.728269    
  0.514510    0.223652    0.272147    
  0.736373    0.619989    0.007730    
  0.124111    0.019243    0.993137    
  0.290733    0.943691    0.450159    
  0.910800    0.421130    0.550675    
  0.975569    0.740137    0.427860    
  0.355373    0.152880    0.571486    
  0.059837    0.821710    0.122307    
  0.672213    0.281266    0.877134    
  0.574740    0.937373    0.643955    
  0.189048    0.459673    0.355935    
  0.397670    0.503258    0.836380    
  0.775557    0.103745    0.163477    
  0.808380    0.538083    0.606074    
  0.428568    0.077717    0.394089    
  0.219214    0.900847    0.913584    
  0.606830    0.487418    0.086490    
  0.642292    0.856228    0.322111    
  0.027991    0.255543    0.678489    
  0.322306    0.703429    0.127730    
  0.944427    0.180808    0.872899    
  0.880145    0.972656    0.242295    
  0.258154    0.385338    0.756892    
  0.092753    0.593229    0.299808    
  0.706939    0.052846    0.699288    
  0.546112    0.665802    0.966148    
  0.158366    0.188163    0.033475    
  0.488806    0.770810    0.521763    
  0.868732    0.371237    0.477889    
  0.858152    0.654011    0.107629    
  0.472298    0.239133    0.891742    
  0.176762    0.782462    0.411296    
  0.554796    0.320646    0.588105    
  0.692186    0.960499    0.823729    
  0.072087    0.436428    0.176197    
  0.280709    0.604514    0.625379    
  0.893003    0.002379    0.374458    
  0.953355    0.836632    0.744831    
  0.340947    0.298705    0.255518    
  0.011238    0.722890    0.798493    
  0.631467    0.138029    0.201884    
  0.619443    0.518119    0.468739    
  0.241524    0.121002    0.532164    
  0.408147    0.919943    0.020393    
  0.793871    0.444761    0.980421    
  0.762696    0.886399    0.281293    
  0.375112    0.471460    0.717872    
  0.209711    0.553852    0.229582    
  0.589489    0.092098    0.769550    
  0.663525    0.689043    0.505137    
  0.041437    0.165033    0.494446    
  0.371877    0.872180    0.951532    
  0.986146    0.269985    0.048145    
  0.925305    0.576831    0.926307    
  0.311151    0.038843    0.073835    
  0.101796    0.986466    0.624593    
  0.723755    0.401666    0.375517    
  0.525330    0.754473    0.142335    
  0.145437    0.357417    0.858225    
  0.439752    0.679795    0.338733    
  0.827466    0.204552    0.661920    
  0.814467    0.597824    0.351075    
  0.452266    0.012946    0.648998    
  0.150138    0.961560    0.168567    
  0.520144    0.423620    0.831597    
  0.726992    0.794997    0.565223    
  0.099052    0.319801    0.435406    
  0.300594    0.643171    0.884603    
  0.936355    0.246038    0.115997    
  0.996584    0.907391    0.987316    
  0.360953    0.445561    0.011782    
  0.038325    0.528945    0.554803    
  0.666151    0.114050    0.444384    
  0.584914    0.729565    0.209271    
  0.214779    0.127415    0.790381    
  0.387993    0.835554    0.278655    
  0.750308    0.311469    0.720968    
  0.782947    0.861521    0.040761    
  0.418585    0.276705    0.959656    
  0.244150    0.701882    0.471320    
  0.616332    0.163880    0.529003    
  0.636535    0.554728    0.762652    
  0.006663    0.079470    0.238182    
  0.328559    0.879403    0.695222    
  0.966236    0.482331    0.305645    
  0.905517    0.678903    0.684814    
  0.267710    0.217134    0.314626    
  0.066900    0.761456    0.865369    
  0.696887    0.346500    0.133978    
  0.552052    0.997110    0.398889    
  0.179999    0.394899    0.600970    
  0.483348    0.563975    0.081462    
  0.847595    0.039951    0.918428    
  0.864030    0.946749    0.542075    
  0.493992    0.406321    0.457059    
  0.171364    0.615174    0.968786    
  0.533597    0.027932    0.030379    
  0.717497    0.628177    0.264024    
  0.081704    0.228678    0.735652    
  0.254918    0.812287    0.192629    
  0.882890    0.334603    0.806954    
  0.947538    0.512178    0.187099    
  0.319679    0.098703    0.813010    
  0.017551    0.922794    0.363815    
  0.653215    0.462505    0.636327    
  0.593950    0.818605    0.901241    
  0.231602    0.296060    0.099412    
  0.433145    0.744907    0.579842    
  0.803312    0.144176    0.420718    
  0.772930    0.718147    0.848787    
  0.400781    0.177780    0.150612    
  0.199971    0.847570    0.670122    
  0.564301    0.260267    0.329250    
  0.684602    0.895851    0.062872    
  0.046957    0.496291    0.936965    
  0.350305    0.540838    0.386221    
  0.980145    0.063215    0.613705    
  0.915985    0.775761    0.486000    
  0.286031    0.362347    0.514377    
  0.111596    0.663000    0.057338    
  0.749371    0.202651    0.943009    
  0.503461    0.578465    0.707901    
  0.139246    0.055859    0.292913    
  0.461142    0.981269    0.781247    
  0.833161    0.380598    0.219657    
  0.834386    0.983183    0.459242    
  0.464311    0.382499    0.540349    
  0.138517    0.580380    0.028685    
  0.500771    0.057759    0.971000    
  0.746193    0.661131    0.737345    
  0.110380    0.200766    0.261814    
  0.288713    0.773892    0.804773    
  0.916722    0.360463    0.194352    
  0.977456    0.542753    0.815190    
  0.349577    0.065114    0.185378    
  0.050127    0.897765    0.634636    
  0.685826    0.498192    0.366025    
  0.565037    0.845700    0.101108    
  0.202653    0.258382    0.899026    
  0.399564    0.716278    0.418534    
  0.769753    0.175895    0.581569    
  0.802576    0.743037    0.148921    
  0.430463    0.142292    0.850999    
  0.232819    0.816736    0.331430    
  0.597127    0.294176    0.668399    
  0.655904    0.924709    0.934782    
  0.018280    0.464404    0.064597    
  0.316510    0.514093    0.615401    
  0.946313    0.100603    0.384007    
  0.886068    0.810418    0.512680    
  0.256135    0.332718    0.488215    
  0.079022    0.626307    0.945194    
  0.716760    0.226794    0.055612    
  0.532373    0.617089    0.290733    
  0.168194    0.029832    0.709623    
  0.494721    0.948664    0.221348    
  0.866720    0.408220    0.779036    
  0.844417    0.565998    0.651208    
  0.482131    0.041988    0.349384    
  0.182681    0.999132    0.829875    
  0.552787    0.396936    0.170746    
  0.698112    0.759448    0.437132    
  0.070071    0.344509    0.563038    
  0.266981    0.676897    0.113782    
  0.902828    0.215142    0.886299    
  0.966972    0.881424    0.013995    
  0.331240    0.484368    0.985620    
  0.005446    0.556750    0.442658    
  0.633358    0.081507    0.556986    
  0.613643    0.699876    0.792104    
  0.243422    0.161888    0.207091    
  0.421755    0.859514    0.718757    
  0.784172    0.274714    0.280348    
  0.752997    0.833548    0.957929    
  0.388721    0.309477    0.042945    
  0.211609    0.727558    0.531218    
  0.583689    0.125424    0.469624    
  0.665415    0.530966    0.235972    
  0.035644    0.116088    0.764344    
  0.362171    0.909413    0.307366    
  0.999762    0.447598    0.693042    
  0.935130    0.641164    0.312904    
  0.297424    0.244047    0.686994    
  0.099781    0.792991    0.136189    
  0.729682    0.317809    0.863676    
  0.523321    0.963583    0.598756    
  0.151355    0.425656    0.400583    
  0.449584    0.599845    0.920154    
  0.813731    0.014984    0.079279    
  0.824288    0.681679    0.893922    
  0.438536    0.206421    0.105907    
  0.148119    0.756358    0.586413    
  0.526067    0.359286    0.413506    
  0.724979    0.984566    0.177893    
  0.104966    0.399750    0.821514    
  0.310422    0.574930    0.372274    
  0.922615    0.036929    0.627106    
  0.986882    0.874065    0.257701    
  0.374559    0.271853    0.743105    
  0.040220    0.690927    0.200189    
  0.660348    0.166902    0.800707    
  0.586800    0.551952    0.533856    
  0.208982    0.090183    0.466528    
  0.378282    0.884500    0.978240    
  0.763920    0.469544    0.022115    
  0.796560    0.918043    0.716176    
  0.408875    0.442846    0.283508    
  0.238354    0.516220    0.771735    
  0.618219    0.119086    0.227856    
  0.630731    0.724775    0.492266    
  0.008556    0.139898    0.506859    
  0.342163    0.838516    0.049836    
  0.956533    0.300575    0.949321    
  0.891779    0.602614    0.072143    
  0.277539    0.000464    0.928518    
  0.072816    0.958599    0.377698    
  0.694876    0.434514    0.622870    
  0.557973    0.784346    0.856042    
  0.177979    0.322516    0.144060    
  0.469616    0.655896    0.663616    
  0.857415    0.241001    0.336519    
  0.869957    0.772802    0.218710    
  0.491977    0.373243    0.782132    
  0.157638    0.667792    0.270422    
  0.543423    0.190170    0.730453    
  0.703761    0.591191    0.994860    
  0.091536    0.050825    0.005550    
  0.260836    0.970619    0.548464    
  0.880881    0.383316    0.451852    
  0.941738    0.705420    0.573696    
  0.321578    0.182815    0.426169    
  0.031161    0.858220    0.875412    
  0.643516    0.257549    0.124486    
  0.607566    0.898810    0.357662    
  0.221895    0.485395    0.641770    
  0.427351    0.536045    0.161263    
  0.805202    0.075696    0.838076    
  0.774821    0.501221    0.392367    
  0.394989    0.101723    0.608254    
  0.190266    0.935336    0.088701    
  0.577918    0.457652    0.911891    
  0.674902    0.823700    0.676275    
  0.060565    0.283273    0.323806    
  0.352202    0.742129    0.874625    
  0.974344    0.154886    0.125546    
  0.913978    0.941653    0.755165    
  0.291950    0.419109    0.244479    
  0.121429    0.617952    0.701504    
  0.735636    0.017221    0.298112    
  0.513285    0.639133    0.031265    
  0.125518    0.225658    0.967840    
  0.459125    0.799745    0.479611    
  0.839087    0.339456    0.519583    
  0.840827    0.562487    0.053989    
  0.453236    0.084558    0.945658    
  0.131592    0.878375    0.496415    
  0.511363    0.478634    0.503199    
  0.741648    0.865006    0.767583    
  0.119567    0.278009    0.231520    
  0.293750    0.696583    0.712028    
  0.908026    0.156398    0.287168    
  0.972178    0.995104    0.659951    
  0.358032    0.394130    0.340671    
  0.054920    0.568802    0.852382    
  0.676887    0.046013    0.148209    
  0.572211    0.672625    0.381362    
  0.192310    0.212580    0.618717    
  0.392882    0.762009    0.075803    
  0.780588    0.348779    0.924369    
  0.811275    0.790913    0.368613    
  0.425429    0.313046    0.631254    
  0.223635    0.645926    0.174230    
  0.601677    0.246123    0.825667    
  0.645316    0.597523    0.590073    
  0.025209    0.010465    0.409358    
  0.327589    0.968100    0.897586    
  0.939876    0.427977    0.101755    
  0.875236    0.731345    0.982389    
  0.262820    0.130432    0.018455    
  0.089370    0.828543    0.538008    
  0.709591    0.305692    0.462864    
  0.541316    0.912956    0.196040    
  0.163405    0.452850    0.804367    
  0.486269    0.525716    0.253549    
  0.872001    0.112547    0.746769    
  0.855249    0.893246    0.870960    
  0.475446    0.495869    0.129698    
  0.172334    0.545073    0.672615    
  0.559957    0.069632    0.327955    
  0.689168    0.711514    0.092365    
  0.074860    0.173817    0.907739    
  0.275433    0.847777    0.396027    
  0.897546    0.263144    0.604106    
  0.958273    0.585632    0.483763    
  0.336274    0.061301    0.515920    
  0.014630    0.979642    0.035413    
  0.628809    0.377249    0.964179    
  0.624230    0.778900    0.697351    
  0.236492    0.364250    0.301776    
  0.410675    0.657346    0.751017    
  0.790609    0.195760    0.248139    
  0.758275    0.629602    0.552613    
  0.380266    0.232286    0.448191    
  0.206816    0.804927    0.999012    
  0.592629    0.329425    0.001886    
  0.658241    0.951715    0.266273    
  0.045987    0.413957    0.734113    
  0.368852    0.611354    0.214558    
  0.988926    0.026783    0.785796    
  0.928689    0.814173    0.157602    
  0.308500    0.289904    0.842225    
  0.106706    0.747307    0.353998    
  0.719090    0.144852    0.645923    
  0.527866    0.511286    0.879072    
  0.142167    0.096575    0.120338    
  0.444547    0.928735    0.577360    
  0.822426    0.467209    0.422017    
  0.819804    0.854683    0.611736    
  0.447662    0.252303    0.388159    
  0.153095    0.710668    0.931122    
  0.517432    0.186354    0.068746    
  0.731482    0.532264    0.335094    
  0.093829    0.070694    0.664247    
  0.303436    0.903814    0.152580    
  0.933268    0.489179    0.846850    
  0.994116    0.670109    0.225501    
  0.364154    0.194684    0.775372    
  0.033478    0.768287    0.294882    
  0.671244    0.370924    0.705962    
  0.581583    0.972691    0.941042    
  0.217376    0.388073    0.059276    
  0.383014    0.586432    0.508532    
  0.755041    0.048750    0.491876    
  0.785911    0.622226    0.808922    
  0.415866    0.019785    0.190692    
  0.249495    0.939087    0.741497    
  0.611721    0.414834    0.258149    
  0.639369    0.803774    0.024536    
  0.003584    0.342265    0.974660    
  0.333041    0.636323    0.455090    
  0.961021    0.221627    0.544013    
  0.900661    0.929841    0.414873    
  0.272810    0.454355    0.585717    
  0.064425    0.504520    0.097445    
  0.700096    0.107219    0.903179    
  0.547080    0.736391    0.638296    
  0.184725    0.151834    0.361877    
  0.480025    0.826755    0.818854    
  0.850185    0.289013    0.181225    
  0.861074    0.693735    0.311519    
  0.496705    0.170932    0.689379    
  0.166028    0.870034    0.240121    
  0.538202    0.269043    0.760683    
  0.714654    0.887065    0.527066    
  0.084790    0.473818    0.473288    
  0.250428    0.547676    0.953781    
  0.888112    0.087617    0.046606    
  0.952387    0.753305    0.916490    
  0.314587    0.353547    0.083431    
  0.020020    0.687419    0.595095    
  0.650014    0.209476    0.404732    
  0.598928    0.571633    0.139853    
  0.226868    0.031435    0.859524    
  0.436474    0.990062    0.316564    
  0.800714    0.403049    0.682846    
  0.767586    0.953597    0.110122    
  0.405393    0.430732    0.890447    
  0.197008    0.606398    0.433469    
  0.567021    0.005468    0.567191    
  0.680119    0.650650    0.833535    
  0.052171    0.237464    0.166598    
  0.347471    0.787885    0.654872    
  0.983223    0.327764    0.345232    
  0.918462    0.520978    0.722905    
  0.282823    0.121159    0.276687    
  0.116453    0.915968    0.796256    
  0.744271    0.438086    0.203426    
  0.506783    0.843029    0.438510    
  0.136655    0.302892    0.560646    
  0.466112    0.722456    0.009843    
  0.828434    0.135382    0.989284    
  0.829692    0.840819    0.067966    
  0.465362    0.302329    0.932169    
  0.134907    0.719204    0.389176    
  0.507056    0.133900    0.610926    
  0.746008    0.522246    0.844548    
  0.116168    0.124686    0.156019    
  0.281585    0.916318    0.667777    
  0.919230    0.440571    0.332884    
  0.983497    0.650388    0.704202    
  0.345722    0.234945    0.294956    
  0.051422    0.786590    0.775416    
  0.681376    0.324332    0.223709    
  0.567789    0.956815    0.488601    
  0.195769    0.432302    0.510991    
  0.405109    0.608703    0.061826    
  0.769324    0.006004    0.937858    
  0.798973    0.573146    0.261375    
  0.436740    0.034717    0.738981    
  0.228133    0.990655    0.188206    
  0.598171    0.405290    0.812178    
  0.648769    0.750850    0.545823    
  0.020796    0.353229    0.455073    
  0.316317    0.683923    0.974551    
  0.952109    0.208238    0.026254    
  0.887356    0.890526    0.905424    
  0.251693    0.475144    0.093956    
  0.085055    0.550227    0.582259    
  0.712913    0.087908    0.417149    
  0.537925    0.693231    0.182063    
  0.167757    0.168656    0.817856    
  0.497481    0.868494    0.360788    
  0.859828    0.265856    0.639042    
  0.850943    0.736011    0.758839    
  0.478761    0.149196    0.240355    
  0.184461    0.825334    0.689522    
  0.548822    0.285455    0.309583    
  0.700372    0.933185    0.043232    
  0.062695    0.456050    0.956384    
  0.272034    0.506944    0.475922    
  0.901906    0.107874    0.523722    
  0.962763    0.801438    0.403868    
  0.332776    0.341576    0.596303    
  0.002320    0.632952    0.084547    
  0.640127    0.220027    0.915534    
  0.612966    0.623612    0.680444    
  0.248718    0.023431    0.320148    
  0.414135    0.939562    0.863138    
  0.786187    0.417444    0.137482    
  0.754769    0.976279    0.569519    
  0.384764    0.389525    0.429820    
  0.218126    0.589100    0.886890    
  0.580327    0.049160    0.112542    
  0.670475    0.669486    0.346168    
  0.034715    0.192290    0.653730    
  0.364438    0.766621    0.165425    
  0.992378    0.367612    0.834441    
  0.932011    0.533895    0.206736    
  0.304186    0.074094    0.793580    
  0.095579    0.904533    0.274103    
  0.731210    0.491546    0.726306    
  0.515694    0.852101    0.991194    
  0.153379    0.251859    0.009681    
  0.448899    0.707054    0.560453    
  0.819035    0.184997    0.440388    
  0.824103    0.508004    0.500714    
  0.444324    0.095062    0.499671    
  0.140991    0.926493    0.948883    
  0.528575    0.466616    0.051473    
  0.720286    0.814492    0.287060    
  0.106017    0.292359    0.713747    
  0.306812    0.748545    0.233330    
  0.928900    0.148348    0.767565    
  0.989634    0.950389    0.144751    
  0.367676    0.410495    0.854657    
  0.045765    0.611063    0.342916    
  0.659918    0.024232    0.656463    
  0.592841    0.631878    0.923280    
  0.205127    0.232791    0.076549    
  0.379577    0.808114    0.619555    
  0.759470    0.330965    0.380364    
  0.789425    0.779463    0.826683    
  0.411391    0.366460    0.173419    
  0.238162    0.658828    0.630474    
  0.624016    0.199012    0.369661    
  0.627128    0.582105    0.105285    
  0.014834    0.060033    0.895375    
  0.337477    0.977157    0.407055    
  0.957576    0.376899    0.593512    
  0.897331    0.714033    0.462908    
  0.277102    0.174079    0.536217    
  0.075575    0.851208    0.016695    
  0.687984    0.264439    0.982463    
  0.559261    0.891677    0.749319    
  0.173537    0.492651    0.250366    
  0.475649    0.544537    0.801092    
  0.853568    0.067327    0.198498    
  0.872217    0.911504    0.324397    
  0.484601    0.449262    0.675035    
  0.162690    0.525306    0.132027    
  0.542501    0.109878    0.867312    
  0.710286    0.733739    0.602933    
  0.088166    0.131055    0.396933    
  0.262616    0.831855    0.908675    
  0.876916    0.307358    0.091223    
  0.941061    0.594123    0.961595    
  0.326874    0.008833    0.038814    
  0.023541    0.965733    0.519229    
